dsC7O2H10nsd_0001, CC(C)(O)c1ccco1, CC(C)(O)C1=CC=CO1, CC(C)(O)c1ccco1
dsC7O2H10nsd_0002, CC(C)(O)c1ccoc1, CC(C)(O)C1=COC=C1, CC(C)(O)c1cocc1
dsC7O2H10nsd_0003, CC(C)c1occc1O, CC(C)C1=C(O)C=CO1, CC(C)c1c(O)cco1
dsC7O2H10nsd_0004, Cc1ccoc1C(C)O, CC(O)C1=C(C)C=CO1, C[C@H](O)c1c(C)cco1
dsC7O2H10nsd_0005, Cc1occc1C(C)O, CC(O)C1=C(C)OC=C1, C[C@H](O)c1c(C)occ1
dsC7O2H10nsd_0006, CC(C)c1cc(O)co1, CC(C)C1=CC(O)=CO1, CC(C)c1cc(O)co1
dsC7O2H10nsd_0007, Cc1coc(C(C)O)c1, CC(O)C1=CC(C)=CO1, C[C@H](O)c1cc(C)co1
dsC7O2H10nsd_0008, Cc1ccc(C(C)O)o1, CC(O)C1=CC=C(C)O1, C[C@H](O)c1ccc(C)o1
dsC7O2H10nsd_0009, Cc1cc(C(C)O)co1, CC(O)C1=COC(C)=C1, C[C@H](O)c1coc(C)c1
dsC7O2H10nsd_0010, Cc1cocc1C(C)O, CC(O)C1=COC=C1C, C[C@@H](O)c1cocc1C
dsC7O2H10nsd_0011, CC(C)Oc1ccco1, CC(C)OC1=CC=CO1, CC(C)Oc1ccco1
dsC7O2H10nsd_0012, CC(O)Cc1ccco1, CC(O)CC1=CC=CO1, C[C@H](O)Cc1ccco1
dsC7O2H10nsd_0013, CC(C)Oc1ccoc1, CC(C)OC1=COC=C1, CC(C)Oc1cocc1
dsC7O2H10nsd_0014, CC(O)Cc1ccoc1, CC(O)CC1=COC=C1, C[C@H](O)Cc1cocc1
dsC7O2H10nsd_0015, Cc1oc(C)c(O)c1C, CC1=C(C)C(O)=C(C)O1, Cc1c(C)c(O)c(C)o1
dsC7O2H10nsd_0016, CC(CO)c1ccco1, CC(CO)C1=CC=CO1, C[C@H](CO)c1ccco1
dsC7O2H10nsd_0017, CCC(O)c1ccco1, CCC(O)C1=CC=CO1, CC[C@@H](O)c1ccco1
dsC7O2H10nsd_0018, COC(C)c1ccco1, COC(C)C1=CC=CO1, CO[C@@H](C)c1ccco1
dsC7O2H10nsd_0019, CC(CO)c1ccoc1, CC(CO)C1=COC=C1, C[C@H](CO)c1cocc1
dsC7O2H10nsd_0020, CCC(O)c1ccoc1, CCC(O)C1=COC=C1, CC[C@@H](O)c1cocc1
dsC7O2H10nsd_0021, COC(C)c1ccoc1, COC(C)C1=COC=C1, CO[C@@H](C)c1cocc1
dsC7O2H10nsd_0022, Cc1coc(CO)c1C, CC1=COC(CO)=C1C, Cc1coc(CO)c1C
dsC7O2H10nsd_0023, CCc1occ(C)c1O, CCC1=C(O)C(C)=CO1, CCc1c(O)c(C)co1
dsC7O2H10nsd_0024, COc1occ(C)c1C, COC1=C(C)C(C)=CO1, COc1c(C)c(C)co1
dsC7O2H10nsd_0025, Cc1cc(C)c(CO)o1, CC1=CC(C)=C(CO)O1, Cc1cc(C)c(CO)o1
dsC7O2H10nsd_0026, CCc1oc(C)cc1O, CCC1=C(O)C=C(C)O1, CCc1c(O)cc(C)o1
dsC7O2H10nsd_0027, COc1oc(C)cc1C, COC1=C(C)C=C(C)O1, COc1c(C)cc(C)o1
dsC7O2H10nsd_0028, Cc1cc(CO)c(C)o1, CC1=CC(CO)=C(C)O1, Cc1cc(CO)c(C)o1
dsC7O2H10nsd_0029, COc1cc(C)oc1C, COC1=C(C)OC(C)=C1, COc1c(C)oc(C)c1
dsC7O2H10nsd_0030, Cc1coc(C)c1CO, CC1=C(CO)C(C)=CO1, Cc1c(CO)c(C)co1
dsC7O2H10nsd_0031, COc1c(C)coc1C, COC1=C(C)OC=C1C, COc1c(C)occ1C
dsC7O2H10nsd_0032, CCc1occc1CO, CCC1=C(CO)C=CO1, CCc1c(CO)cco1
dsC7O2H10nsd_0033, CCc1ccoc1CO, CCC1=C(CO)OC=C1, CCc1c(CO)occ1
dsC7O2H10nsd_0034, CCc1occc1OC, CCC1=C(OC)C=CO1, CCc1c(OC)cco1
dsC7O2H10nsd_0035, CCc1ccoc1OC, CCC1=C(OC)OC=C1, CCc1c(OC)occ1
dsC7O2H10nsd_0036, Cc1cc(CO)oc1C, CC1=C(C)C=C(CO)O1, Cc1c(C)cc(CO)o1
dsC7O2H10nsd_0037, CCc1cc(O)c(C)o1, CCC1=CC(O)=C(C)O1, CCc1cc(O)c(C)o1
dsC7O2H10nsd_0038, COc1cc(C)c(C)o1, COC1=CC(C)=C(C)O1, COc1cc(C)c(C)o1
dsC7O2H10nsd_0039, CCc1cc(CO)co1, CCC1=CC(CO)=CO1, CCc1cc(CO)co1
dsC7O2H10nsd_0040, CCc1cc(OC)co1, CCC1=CC(OC)=CO1, CCc1cc(OC)co1
dsC7O2H10nsd_0041, CCc1coc(CO)c1, CCC1=COC(CO)=C1, CCc1coc(CO)c1
dsC7O2H10nsd_0042, CCc1coc(OC)c1, CCC1=COC(OC)=C1, CCc1coc(OC)c1
dsC7O2H10nsd_0043, CCc1ccc(CO)o1, CCC1=CC=C(CO)O1, CCc1ccc(CO)o1
dsC7O2H10nsd_0044, CCc1ccc(OC)o1, CCC1=CC=C(OC)O1, CCc1ccc(OC)o1
dsC7O2H10nsd_0045, Cc1occ(CO)c1C, CC1=C(C)C(CO)=CO1, Cc1c(C)c(CO)co1
dsC7O2H10nsd_0046, CCc1coc(C)c1O, CCC1=COC(C)=C1O, CCc1coc(C)c1O
dsC7O2H10nsd_0047, COc1coc(C)c1C, COC1=COC(C)=C1C, COc1coc(C)c1C
dsC7O2H10nsd_0048, CCc1cocc1CO, CCC1=COC=C1CO, CCc1cocc1CO
dsC7O2H10nsd_0049, CCc1cocc1OC, CCC1=COC=C1OC, CCc1cocc1OC
dsC7O2H10nsd_0050, Cc1ccoc1CCO, CC1=C(CCO)OC=C1, Cc1c(CCO)occ1
dsC7O2H10nsd_0051, CCCc1occc1O, CCCC1=C(O)C=CO1, CCCc1c(O)cco1
dsC7O2H10nsd_0052, CCOc1occc1C, CCOC1=C(C)C=CO1, CCOc1c(C)cco1
dsC7O2H10nsd_0053, COCc1occc1C, COCC1=C(C)C=CO1, COCc1c(C)cco1
dsC7O2H10nsd_0054, Cc1occc1CCO, CC1=C(CCO)C=CO1, Cc1c(CCO)cco1
dsC7O2H10nsd_0055, CCOc1ccoc1C, CCOC1=C(C)OC=C1, CCOc1c(C)occ1
dsC7O2H10nsd_0056, COCc1ccoc1C, COCC1=C(C)OC=C1, COCc1c(C)occ1
dsC7O2H10nsd_0057, Cc1coc(CCO)c1, CC1=COC(CCO)=C1, Cc1coc(CCO)c1
dsC7O2H10nsd_0058, CCCc1cc(O)co1, CCCC1=CC(O)=CO1, CCCc1cc(O)co1
dsC7O2H10nsd_0059, CCOc1cc(C)co1, CCOC1=CC(C)=CO1, CCOc1cc(C)co1
dsC7O2H10nsd_0060, COCc1cc(C)co1, COCC1=CC(C)=CO1, COCc1cc(C)co1
dsC7O2H10nsd_0061, Cc1ccc(CCO)o1, CC1=CC=C(CCO)O1, Cc1ccc(CCO)o1
dsC7O2H10nsd_0062, CCOc1ccc(C)o1, CCOC1=CC=C(C)O1, CCOc1ccc(C)o1
dsC7O2H10nsd_0063, COCc1ccc(C)o1, COCC1=CC=C(C)O1, COCc1ccc(C)o1
dsC7O2H10nsd_0064, Cc1cc(CCO)co1, CC1=CC(CCO)=CO1, Cc1cc(CCO)co1
dsC7O2H10nsd_0065, CCOc1coc(C)c1, CCOC1=COC(C)=C1, CCOc1coc(C)c1
dsC7O2H10nsd_0066, COCc1coc(C)c1, COCC1=COC(C)=C1, COCc1coc(C)c1
dsC7O2H10nsd_0067, Cc1cocc1CCO, CC1=COC=C1CCO, Cc1cocc1CCO
dsC7O2H10nsd_0068, CCOc1cocc1C, CCOC1=COC=C1C, CCOc1cocc1C
dsC7O2H10nsd_0069, COCc1cocc1C, COCC1=COC=C1C, COCc1cocc1C
dsC7O2H10nsd_0070, CCCOc1ccco1, CCCOC1=CC=CO1, CCCOc1ccco1
dsC7O2H10nsd_0071, CCOCc1ccco1, CCOCC1=CC=CO1, CCOCc1ccco1
dsC7O2H10nsd_0072, COCCc1ccco1, COCCC1=CC=CO1, COCCc1ccco1
dsC7O2H10nsd_0073, OCCCc1ccco1, OCCCC1=CC=CO1, OCCCc1ccco1
dsC7O2H10nsd_0074, CCCOc1ccoc1, CCCOC1=COC=C1, CCCOc1cocc1
dsC7O2H10nsd_0075, CCOCc1ccoc1, CCOCC1=COC=C1, CCOCc1cocc1
dsC7O2H10nsd_0076, COCCc1ccoc1, COCCC1=COC=C1, COCCc1cocc1
dsC7O2H10nsd_0077, OCCCc1ccoc1, OCCCC1=COC=C1, OCCCc1cocc1
dsC7O2H10nsd_0078, C#CC1CCCOCO1, C#CC1CCCOCO1, C#C[C@@H]1CCCOCO1
dsC7O2H10nsd_0079, C#CC1CCOCCO1, C#CC1CCOCCO1, C#C[C@H]1CCOCCO1
dsC7O2H10nsd_0080, C#CC1CCOCOC1, C#CC1CCOCOC1, C#C[C@@H]1CCOCOC1
dsC7O2H10nsd_0081, C#CC1COCCCO1, C#CC1COCCCO1, C#C[C@@H]1COCCCO1
dsC7O2H10nsd_0082, C#CC1COCCOC1, C#CC1COCCOC1, C#CC1COCCOC1
dsC7O2H10nsd_0083, C#CC1OCCCCO1, C#CC1OCCCCO1, C#CC1OCCCCO1
dsC7O2H10nsd_0084, C#CCC1CCOCO1, C#CCC1CCOCO1, C#CC[C@@H]1CCOCO1
dsC7O2H10nsd_0085, C#CCC1COCCO1, C#CCC1COCCO1, C#CC[C@H]1COCCO1
dsC7O2H10nsd_0086, C#CCC1COCOC1, C#CCC1COCOC1, C#CCC1COCOC1
dsC7O2H10nsd_0087, C#CCC1OCCCO1, C#CCC1OCCCO1, C#CCC1OCCCO1
dsC7O2H10nsd_0088, C#CCCC1COCO1, C#CCCC1COCO1, C#CCC[C@@H]1COCO1
dsC7O2H10nsd_0089, C#CCCC1OCCO1, C#CCCC1OCCO1, C#CCCC1OCCO1
dsC7O2H10nsd_0090, C#CCOC1CCCO1, C#CCOC1CCCO1, C#CCO[C@H]1CCCO1
dsC7O2H10nsd_0091, C#CCOC1CCOC1, C#CCOC1CCOC1, C#CCO[C@H]1CCOC1
dsC7O2H10nsd_0092, C#CCCOC1COC1, C#CCCOC1COC1, C#CCCOC1COC1
dsC7O2H10nsd_0093, C#CCOCC1CCO1, C#CCOCC1CCO1, C#CCOC[C@H]1CCO1
dsC7O2H10nsd_0094, C#CCOCC1COC1, C#CCOCC1COC1, C#CCOCC1COC1
dsC7O2H10nsd_0095, C#CCCOCC1CO1, C#CCCOCC1CO1, C#CCCOC[C@@H]1CO1
dsC7O2H10nsd_0096, C#CCOCCC1CO1, C#CCOCCC1CO1, C#CCOCC[C@@H]1CO1
dsC7O2H10nsd_0097, C1OC1CC12CC(C1)O2, C(C1CO1)C12CC(C1)O2, C([C@@H]1CO1)[C@@]12C[C@@H](C1)O2
dsC7O2H10nsd_0098, C1OC1CC12CC1CO2, C(C1CO1)C12CC1CO2, C([C@@H]1CO1)[C@]12C[C@H]1CO2
dsC7O2H10nsd_0099, C1OC1CC12COC1C2, C(C1CO1)C12CC1OC2, C([C@@H]1CO1)[C@@]12C[C@@H]1OC2
